broker,tier,aliases,valid_from,valid_to
미래에셋증권,MAJOR,미래에셋증권|미래에셋대우|=미래에셋|대우증권|KDB대우|=대우,,
NH투자증권,MAJOR,NH투자증권|NH투자|엔에이치투자|NH농협증권|=NH,,
NH투자증권,MAJOR,우리투자증권|우리투자,,2014-12-31
우리투자증권,MID,우리투자증권|우리투자|우리종합금융,2024-08-01,
한국투자증권,MAJOR,한국투자증권|한국증권|한투증권|=한국투자|=한투,,
삼성증권,MAJOR,삼성증권|=삼성,,
KB증권,MAJOR,KB증권|KB투자증권|현대증권|케이비증권|=KB,,
신한투자증권,MAJOR,신한투자증권|신한금융투자|신한금투|=신한투자|=신한,,
하나증권,MAJOR,하나증권|하나금융투자|하나금투|하나대투증권|하나대투|=하나,,
메리츠증권,MAJOR,메리츠증권|메리츠종금증권|메리츠종금|아이엠투자증권|=메리츠,,
키움증권,RETAIL,키움증권|=키움,,
대신증권,MID,대신증권|=대신,,
유안타증권,MID,유안타증권|동양증권|=유안타|=동양,,
한화투자증권,MID,한화투자증권|한화증권|=한화투자|=한화,,
교보증권,MID,교보증권|=교보,,
IBK투자증권,MID,IBK투자증권|IBK증권|아이비케이투자증권|=IBK,,
신영증권,MID,신영증권|=신영,,
현대차증권,MID,현대차증권|현대차투자증권|HMC투자증권|=HMC|=현대차,,
SK증권,MID,SK증권|에스케이증권|=SK,,
유진투자증권,MID,유진투자증권|유진증권|=유진,,
iM증권,MID,iM증권|IM증권|아이엠증권|하이투자증권|하이증권|=하이투자|=하이,,
LS증권,MID,LS증권|엘에스증권|이베스트투자증권|EBEST투자증권|=이베스트|=EBEST|=E*BEST,,
다올투자증권,MID,다올투자증권|KTB투자증권|=다올|=KTB,,
DB금융투자,MID,DB금융투자|디비금융투자|동부증권|DB증권|=DB금투|=DB,,
BNK투자증권,MID,BNK투자증권|BNK증권|=BNK,,
흥국증권,MID,흥국증권|=흥국,,
부국증권,MID,부국증권|=부국,,
한양증권,MID,한양증권|=한양,,
상상인증권,MID,상상인증권|골든브릿지투자증권|=상상인|=골든브릿지,,
케이프투자증권,MID,케이프투자증권|LIG투자증권|=케이프|=LIG,,
토스증권,RETAIL,토스증권|=토스,,
카카오페이증권,RETAIL,카카오페이증권|바로투자증권|=카카오페이|=바로투자,,
리딩투자증권,MID,리딩투자증권|=리딩투자,,
코리아에셋투자증권,MID,코리아에셋투자증권|=코리아에셋,,
유화증권,MID,유화증권|=유화,,
DS투자증권,MID,DS투자증권|디에스투자증권|DS증권,,
한국포스증권,MID,한국포스증권|포스증권|펀드온라인코리아,,2024-07-31
교보악사,OTHER,교보악사,,
모간스탠리,FOREIGN,모간스탠리|모건스탠리|모건스탠리서울|=모건서울|=모간스탠|MORGANSTANLEY|=MS서울,,
골드만삭스,FOREIGN,골드만삭스|GOLDMANSACHS|=골드만|=GS서울,,
JP모간,FOREIGN,JP모간|제이피모간|JP모건|JPMORGAN,,
메릴린치,FOREIGN,메릴린치|BOFA|뱅크오브아메리카|MERRILL|=BOA|=메릴,,
CS증권,FOREIGN,CS증권|크레디트스위스|크레디스위스|CREDITSUISSE|=CS,,
UBS,FOREIGN,UBS증권|UBS,,
씨티그룹,FOREIGN,씨티그룹|한국씨티|CITIGROUP|=씨티|=CITI,,
도이치,FOREIGN,도이치증권|도이치|DEUTSCHE,,
HSBC,FOREIGN,HSBC증권|HSBC,,
노무라,FOREIGN,노무라금융투자|노무라|NOMURA,,
다이와,FOREIGN,다이와증권|다이와|DAIWA,,
맥쿼리,FOREIGN,맥쿼리증권|맥쿼리|MACQUARIE,,
CLSA,FOREIGN,CLSA코리아|CLSA,,
BNP파리바,FOREIGN,BNP파리바|BNPPARIBAS|=BNP,,
SG증권,FOREIGN,SG증권|소시에테제네랄|SOCIETEGENERALE|=소시에테,,
바클레이즈,FOREIGN,바클레이즈|바클레이|BARCLAYS,,
홍콩상하이,FOREIGN,홍콩상하이,,
한국IR협의회,OTHER,한국IR협의회|IR협의회,,
NICE디앤비,OTHER,NICE디앤비|나이스디앤비,,
에프앤가이드,OTHER,에프앤가이드|FNGUIDE,,
