구성,거래일,CAGR,연변동성,Sharpe,Sortino,MDD,Calmar,누적수익,t통계량(NW),일평균,최장언더워터(일),이벤트체결수,승률,평균보유일,연회전율,평균보유종목,평균현금비중,총비용
k=0·hold=10d·raw,1800,0.011454239813178058,0.011784294693483459,0.971991969915016,1.3630310229341727,-0.020645438738348454,0.5548072849574301,0.08475155179152027,2.609641525104287,4.547138104224826e-05,255,411,0.5279805352798054,10.0,1.4385,2.283333333333333,0.9426168640098094,0.07546134585875013
k=0·hold=10d·resid,1800,0.01167905319264384,0.011827602062313453,0.9874404914126307,1.3849129701329532,-0.020645438738347455,0.5656965366858888,0.08647490641903044,2.630157423040417,4.635536681004872e-05,253,413,0.5351089588377724,10.0,1.4455,2.2944444444444443,0.942340059211831,0.07581657896802896
k=0·hold=20d·raw,1800,0.02694032448085304,0.016204575868961967,1.6625133973703183,2.5961714468409838,-0.017356705201584055,1.5521565970017361,0.2091098736421635,4.270165484137015,0.00010601756530957252,178,400,0.595,20.0,1.4,4.444444444444445,0.8877936344729422,0.0781118556408621
k=0·hold=20d·resid,1800,0.026631632441822095,0.0162589541447614,1.6379671290482574,2.58488111136771,-0.01735670520158461,1.534371422024885,0.20651618994715837,4.127418153303798,0.00010482792217288996,178,402,0.5920398009950248,20.0,1.407,4.466666666666667,0.8872553549207788,0.07851275949103229
k=0·hold=60d·raw,1800,0.03197428683687975,0.027882984663786865,1.146731141677472,1.76544546698364,-0.03941147735988659,0.8112937900019832,0.25208793568327037,3.14498321937041,0.00012644522245003865,327,371,0.5309973045822103,60.0,1.2985,12.366666666666667,0.6857347957954676,0.07191406796963164
k=0·hold=60d·resid,1800,0.031042033343244624,0.028170076432607896,1.1019506254272116,1.7144078996073104,-0.035297789605294394,0.8794327829125187,0.24403105141369008,2.992808230519494,0.00012289019459334213,221,373,0.5335120643431636,60.0,1.3055,12.433333333333334,0.6843413428900287,0.07168363982106637
k=2·hold=10d·raw,1800,0.006363417700193441,0.011898332781037663,0.5348159122204752,0.7508129511639434,-0.02642000611111084,0.24085602680906756,0.04635110735853387,1.392428213604301,2.545268735602334e-05,490,407,0.5331695331695332,10.0,1.4245,2.261111111111111,0.9432035125929954,0.07420634730864115
k=2·hold=10d·resid,1800,0.006741749027896704,0.012030163075276448,0.5604037938398255,0.7943551612380242,-0.024621112562443703,0.2738198369711515,0.04916409851087611,1.4591273494926855,2.6950514543435174e-05,490,411,0.5304136253041363,10.0,1.4385,2.283333333333333,0.9426508484109465,0.07534256458707914
k=2·hold=20d·raw,1800,0.01730783942628955,0.01665386482346134,1.0392686388271217,1.6133537541888407,-0.03322662105779639,0.5209027844324962,0.13039796176229546,2.5172957542886643,6.864653458771125e-05,302,397,0.5617128463476071,20.0,1.3895,4.411111111111111,0.888732910986531,0.0759888238621744
k=2·hold=20d·resid,1800,0.01800120555319662,0.016675154764199448,1.0795225476314092,1.6971398015133212,-0.0312069553717631,0.5768331238581703,0.13591267354089998,2.64891967719329,7.135183624368448e-05,280,400,0.56,20.0,1.4,4.444444444444445,0.8878884415896325,0.07678879203931877
k=2·hold=60d·raw,1800,0.035233288304731714,0.028103018021141457,1.253719023281637,2.0360311337241157,-0.04416388081604472,0.797785150528064,0.28060713582131824,3.3066595096265754,0.0001389830753406454,258,370,0.518918918918919,60.0,1.295,12.333333333333334,0.6873357835605088,0.07228652337973833
k=2·hold=60d·resid,1800,0.03987398666493891,0.028574417589135037,1.3954435480812863,2.227654946123909,-0.028835008879707025,1.382832473930698,0.32218070466469295,3.749973119299703,0.00015678768149955823,219,377,0.5305039787798409,60.0,1.3195000000000001,12.566666666666666,0.6814766792955306,0.07513107960996175
